questions,keys,datadic,col_name,assessment,domains,measures
23. My child is a worrier,SCARED_P_23,SCARED_P,"SCARED_P,SCARED_P_23",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
24. My child gets really frightened for no reason at all,SCARED_P_24,SCARED_P,"SCARED_P,SCARED_P_24",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
25. My child is afraid to be alone in the house,SCARED_P_25,SCARED_P,"SCARED_P,SCARED_P_25",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
26. It is hard for my child to talk with people he/she doesn't know well,SCARED_P_26,SCARED_P,"SCARED_P,SCARED_P_26",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
"27. When my child gets frightened, he/she feels like he/she is choking",SCARED_P_27,SCARED_P,"SCARED_P,SCARED_P_27",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
28. People tell me that my child worries too much,SCARED_P_28,SCARED_P,"SCARED_P,SCARED_P_28",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
29. My child doesn't like to be away from his/her family,SCARED_P_29,SCARED_P,"SCARED_P,SCARED_P_29",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
30. My child is afraid of having anxiety (or panic) attacks,SCARED_P_30,SCARED_P,"SCARED_P,SCARED_P_30",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
31. My child worries that something bad will happen to his/her parents,SCARED_P_31,SCARED_P,"SCARED_P,SCARED_P_31",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
32. My child feels shy with people he/she doesn't know well,SCARED_P_32,SCARED_P,"SCARED_P,SCARED_P_32",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
33. My child worries about what is going to happen in the future,SCARED_P_33,SCARED_P,"SCARED_P,SCARED_P_33",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
"34. When my child gets frightened, he/she feels like throwing up",SCARED_P_34,SCARED_P,"SCARED_P,SCARED_P_34",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
35. My child worries about how well he/she does things,SCARED_P_35,SCARED_P,"SCARED_P,SCARED_P_35",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
36. My child is scared to go to school,SCARED_P_36,SCARED_P,"SCARED_P,SCARED_P_36",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
37. My child worries about things that have already happened,SCARED_P_37,SCARED_P,"SCARED_P,SCARED_P_37",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
"38. When my child gets frightened, he/she feels dizzy",SCARED_P_38,SCARED_P,"SCARED_P,SCARED_P_38",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
"39. My child feels nervous when he/she is with other children or adults and he/she has to do something while they watch him/her (for example: read aloud, speak, play agame, play a sport)",SCARED_P_39,SCARED_P,"SCARED_P,SCARED_P_39",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
"40. My child feels nervous when he/she is going to parties, dances, or any place where there will be people that he/she doesn't k",SCARED_P_40,SCARED_P,"SCARED_P,SCARED_P_40",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
41. My child is shy,SCARED_P_41,SCARED_P,"SCARED_P,SCARED_P_41",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
Generalized Anxiety Disorder Score,SCARED_P_GD,SCARED_P,"SCARED_P,SCARED_P_GD",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
Panic Disorder Score,SCARED_P_PN,SCARED_P,"SCARED_P,SCARED_P_PN",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
Social Anxiety Disorder Score,SCARED_P_SC,SCARED_P,"SCARED_P,SCARED_P_SC",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
Significant School Avoidance Score,SCARED_P_SH,SCARED_P,"SCARED_P,SCARED_P_SH",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
Separation Anxiety SOC Score,SCARED_P_SP,SCARED_P,"SCARED_P,SCARED_P_SP",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
Total Score,SCARED_P_Total,SCARED_P,"SCARED_P,SCARED_P_Total",Parent Measures,Demographic_Questionnaire_Measures,Screen for Child Anxiety Related Disorders - Parent report
"1. When I feel frightened, it is hard to breathe",SCARED_SR_01,SCARED_SR,"SCARED_SR,SCARED_SR_01",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
2. I get heacaches when I am at school,SCARED_SR_02,SCARED_SR,"SCARED_SR,SCARED_SR_02",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
3. I don't like to be with people I don',SCARED_SR_03,SCARED_SR,"SCARED_SR,SCARED_SR_03",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
4. I get scared when I sleep away from home,SCARED_SR_04,SCARED_SR,"SCARED_SR,SCARED_SR_04",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
5. I worry about other people liking me,SCARED_SR_05,SCARED_SR,"SCARED_SR,SCARED_SR_05",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"6. When I get frightened, I feel like passing out",SCARED_SR_06,SCARED_SR,"SCARED_SR,SCARED_SR_06",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
7. I am nervous,SCARED_SR_07,SCARED_SR,"SCARED_SR,SCARED_SR_07",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
8. I follow my mother or father wherever they go,SCARED_SR_08,SCARED_SR,"SCARED_SR,SCARED_SR_08",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
9. People tell me that I look nervous,SCARED_SR_09,SCARED_SR,"SCARED_SR,SCARED_SR_09",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
10. I feel nervous with people I don't kn,SCARED_SR_10,SCARED_SR,"SCARED_SR,SCARED_SR_10",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
11. I get stomachaches at school,SCARED_SR_11,SCARED_SR,"SCARED_SR,SCARED_SR_11",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"12. When I get frightened, I feel like I am going crazy",SCARED_SR_12,SCARED_SR,"SCARED_SR,SCARED_SR_12",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
13. I worry about sleeping alone,SCARED_SR_13,SCARED_SR,"SCARED_SR,SCARED_SR_13",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
14. I worry about being as good as other kids,SCARED_SR_14,SCARED_SR,"SCARED_SR,SCARED_SR_14",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"15. When I get frightened, I feel like things are not real",SCARED_SR_15,SCARED_SR,"SCARED_SR,SCARED_SR_15",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
16. I have nightmares about something bad happening to my parents,SCARED_SR_16,SCARED_SR,"SCARED_SR,SCARED_SR_16",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
17. I worry about going to school,SCARED_SR_17,SCARED_SR,"SCARED_SR,SCARED_SR_17",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"18. When I get frightened, my heart beats fast",SCARED_SR_18,SCARED_SR,"SCARED_SR,SCARED_SR_18",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
19. I get shaky,SCARED_SR_19,SCARED_SR,"SCARED_SR,SCARED_SR_19",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
20. I have nightmares about something bad happening to me,SCARED_SR_20,SCARED_SR,"SCARED_SR,SCARED_SR_20",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
21. I worry about things working out for me,SCARED_SR_21,SCARED_SR,"SCARED_SR,SCARED_SR_21",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"22. When I get frightened, I sweat a lot",SCARED_SR_22,SCARED_SR,"SCARED_SR,SCARED_SR_22",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
23. I am a worrier,SCARED_SR_23,SCARED_SR,"SCARED_SR,SCARED_SR_23",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
24. I get really frieghtened for no reason at all,SCARED_SR_24,SCARED_SR,"SCARED_SR,SCARED_SR_24",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
25. I am afraid to be alone in the house,SCARED_SR_25,SCARED_SR,"SCARED_SR,SCARED_SR_25",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
26. It is hard for me to talk with people I don't kn,SCARED_SR_26,SCARED_SR,"SCARED_SR,SCARED_SR_26",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"27. When I get frightened, I feel like I am choking",SCARED_SR_27,SCARED_SR,"SCARED_SR,SCARED_SR_27",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
28. People tell me that I worry too much,SCARED_SR_28,SCARED_SR,"SCARED_SR,SCARED_SR_28",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
29. I don't like to be away from my,SCARED_SR_29,SCARED_SR,"SCARED_SR,SCARED_SR_29",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
30. I am afraid of having anxiety (or panic) attacks,SCARED_SR_30,SCARED_SR,"SCARED_SR,SCARED_SR_30",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
31. I worry that somehting bad might happen to my parents,SCARED_SR_31,SCARED_SR,"SCARED_SR,SCARED_SR_31",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
32. I feel shy with people I don't kn,SCARED_SR_32,SCARED_SR,"SCARED_SR,SCARED_SR_32",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
33. I worry about what is going to happen in the future,SCARED_SR_33,SCARED_SR,"SCARED_SR,SCARED_SR_33",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"34. When I get frightened, I feel like throwing up",SCARED_SR_34,SCARED_SR,"SCARED_SR,SCARED_SR_34",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
35. I worry about how well I do things,SCARED_SR_35,SCARED_SR,"SCARED_SR,SCARED_SR_35",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
36. I am scared to go to school,SCARED_SR_36,SCARED_SR,"SCARED_SR,SCARED_SR_36",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
37. I worry about things that have already happened,SCARED_SR_37,SCARED_SR,"SCARED_SR,SCARED_SR_37",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"38. When I get frightened, I feel dizzy",SCARED_SR_38,SCARED_SR,"SCARED_SR,SCARED_SR_38",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"39. I feel nervous when I am with other children or adults and I have to do something while they watch me (for example: read aloud, speak, play a game, play a sport)",SCARED_SR_39,SCARED_SR,"SCARED_SR,SCARED_SR_39",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"40. I feel nervous when I am going to parties, dances, or any place where there will be people that I don't kn",SCARED_SR_40,SCARED_SR,"SCARED_SR,SCARED_SR_40",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
41. I am shy,SCARED_SR_41,SCARED_SR,"SCARED_SR,SCARED_SR_41",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
Generalized Anxiety Disorder,SCARED_SR_GD,SCARED_SR,"SCARED_SR,SCARED_SR_GD",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
Panic Disorder,SCARED_SR_PN,SCARED_SR,"SCARED_SR,SCARED_SR_PN",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
Social Anxiety Disorder,SCARED_SR_SC,SCARED_SR,"SCARED_SR,SCARED_SR_SC",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
Significant School Avoidance,SCARED_SR_SH,SCARED_SR,"SCARED_SR,SCARED_SR_SH",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
Separation Anxiety,SCARED_SR_SP,SCARED_SR,"SCARED_SR,SCARED_SR_SP",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
Total Score,SCARED_SR_Total,SCARED_SR,"SCARED_SR,SCARED_SR_Total",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Screen for Child Anxiety Related Disorders - Self-report
"1. Is she/he now able to talk using short phrases or sentences? If no, skip to question 8.",SCQ_01,SCQ,"SCQ,SCQ_01",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"""2. Do you have a to and fro """"conversation"""" with her/him that involves taking turns or building on what you have said?""",SCQ_02,SCQ,"SCQ,SCQ_02",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
3. Does she/he ever use odd phrases or say the same thing over and over in almost exactly the same way (either phrases that she/he hears other people use or ones that she/he makes up?,SCQ_03,SCQ,"SCQ,SCQ_03",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"4. Does she/he ever use socially inappropriate questions or statements? For example, does she/he ever regularly ask personal questions or make personal comments at awkward times?",SCQ_04,SCQ,"SCQ,SCQ_04",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"5. Does she/he ever get her/his pronouns mixed up (e.g., saying you or she/he for I)?",SCQ_05,SCQ,"SCQ,SCQ_05",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"""6. Does she/he ever use words that she/he seems to have invented or made up her/himself put things in odd, indirect ways or use metaphorical ways of saying things (e.g., saying hot rain for steam)?""",SCQ_06,SCQ,"SCQ,SCQ_06",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
7. Does she/he ever say the same thing over and over again?,SCQ_07,SCQ,"SCQ,SCQ_07",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
8. Does she/he ever have things that she/he seems to have to do in a very particular way or order or rituals that she/he insists that you go though?,SCQ_08,SCQ,"SCQ,SCQ_08",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"9. Does her/his facial expression usually seem appropriate to the particular situation, as far as you can tell?",SCQ_09,SCQ,"SCQ,SCQ_09",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"10. Does she/he ever use your hand like a tool or as if it were part of her/his own body (e.g., pointing with your finder or putting your hand on a doorknob to get you to open the door?)",SCQ_10,SCQ,"SCQ,SCQ_10",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"11. Does she/he ever have any interests that preoccupy her/him and might seem off to other people (e.g., traffic lights, drainpipes, or timetables?)",SCQ_11,SCQ,"SCQ,SCQ_11",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"12. Does she/he ever seem to be more interested in parts of a toy or an object (e.g., spinning the wheels of a car), rather than in using the object as it was intended?",SCQ_12,SCQ,"SCQ,SCQ_12",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"13. Does she/he ever have any special interests that are unusual in their intensity but otherwise appropriate for her/his age and peer group (e.g., trains or dinosaurs)?",SCQ_13,SCQ,"SCQ,SCQ_13",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"14. Does she/he ever seem to be unusually interested in the sight, feel, sound, taske, or smell of things or people?",SCQ_14,SCQ,"SCQ,SCQ_14",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"15. Does she/he ever have any mannerisms or odd ways of moving her/his hands or fingers, such as flapping or moving her/his fingers in front or her/his eyes?",SCQ_15,SCQ,"SCQ,SCQ_15",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"16. Does she/he ever have any complicated movements of her/his whole body, such as spinning or repeatedly bouncing up and down?",SCQ_16,SCQ,"SCQ,SCQ_16",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"17. Does she/he ever injure her/himself deliberately, such as by biting her/his arm or banging her/his head?",SCQ_17,SCQ,"SCQ,SCQ_17",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
18. Does she/he ever have any objects (other than a soft toy or comfort blanket) that she/he has to carry around?,SCQ_18,SCQ,"SCQ,SCQ_18",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
19. Does she/he have any particular friends or a best friend?,SCQ_19,SCQ,"SCQ,SCQ_19",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
20. Does she/he ever talk with you just to be friendly (rather than to get something)?,SCQ_20,SCQ,"SCQ,SCQ_20",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"21. Does she/he ever spontaneously copy you (or other people) or what you are doing (such as vacuuming, gardening, or mending things)?",SCQ_21,SCQ,"SCQ,SCQ_21",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
22. Does she/he ever spontaneously point at things around her/him just to show you things (not because she/he wants them)?,SCQ_22,SCQ,"SCQ,SCQ_22",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"23. Does she/he ever use gestures, other than pointing or pulling your hand, to let you know what she/he wants?",SCQ_23,SCQ,"SCQ,SCQ_23",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
24. Does she/he nod her/his head to indicate yes?,SCQ_24,SCQ,"SCQ,SCQ_24",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
25. Does she/he shake her/his head to indicate no?,SCQ_25,SCQ,"SCQ,SCQ_25",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
26. Does she/he usually look at you directly in the face when doing things with you or talking with you?,SCQ_26,SCQ,"SCQ,SCQ_26",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
27. Does she/he smile back if someone smiles at her/him?,SCQ_27,SCQ,"SCQ,SCQ_27",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
28. Does she/he ever show you things that interest her/him to engage your attention?,SCQ_28,SCQ,"SCQ,SCQ_28",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
29. Does she/he ever offer to share things other than food with you?,SCQ_29,SCQ,"SCQ,SCQ_29",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
30. Does she/he ever seem to want you to join in her/his enjoyment of something?,SCQ_30,SCQ,"SCQ,SCQ_30",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
31. Does she/he ever try to comfort you if you are sad or hurt?,SCQ_31,SCQ,"SCQ,SCQ_31",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"32. If she/he wants something or wants help, does she/he look at you and use gestures with sounds or words to get your attention?",SCQ_32,SCQ,"SCQ,SCQ_32",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
33. Does she/he show a normal range of facial expressions?,SCQ_33,SCQ,"SCQ,SCQ_33",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"34. Does she/he ever spontaenously join in and try to copy the actions in social games, such as The Mulberry Bush or London Bridge is Falling Down?",SCQ_34,SCQ,"SCQ,SCQ_34",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
35. Does she/he play any pretend or make-believe games?,SCQ_35,SCQ,"SCQ,SCQ_35",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
36. Does she/he seem interested in other children of approximately the same age whom she/he does not know?,SCQ_36,SCQ,"SCQ,SCQ_36",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
37. Does she/he respond positively when another child approaches her/him?,SCQ_37,SCQ,"SCQ,SCQ_37",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"38. If you come into a room and start talkking to her/him without calling her/his name, does she/he usually look up and pay attention to you?",SCQ_38,SCQ,"SCQ,SCQ_38",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
39. Does she/he ever play imaginative games with another child in such a way that you can tell that each child understands what the other is pretending?,SCQ_39,SCQ,"SCQ,SCQ_39",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
"40. Does she/he play cooperatively in games that need some form of joining in with a group of other children, such as hide-and-seek or ball games?",SCQ_40,SCQ,"SCQ,SCQ_40",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
Total Score,SCQ_Total,SCQ,"SCQ,SCQ_Total",Parent Measures,Demographic_Questionnaire_Measures,Social Communication Questionnaire
Considerate of other people's feelings,SDQ_01,SDQ,"SDQ,SDQ_01",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Restless, overactive, cannot stay still for long",SDQ_02,SDQ,"SDQ,SDQ_02",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Often complains of headaches, stomach-aches or sickness",SDQ_03,SDQ,"SDQ,SDQ_03",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Shares readily with other children, for example toys, treats, pencils (for 11-17 year olds: Shares readily with other youth, for example CD's, game",SDQ_04,SDQ,"SDQ,SDQ_04",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Often loses temper,SDQ_05,SDQ,"SDQ,SDQ_05",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Rather solitary, prefers to play alone (for 11-17 year olds: Would rather be alone than with other youth)",SDQ_06,SDQ,"SDQ,SDQ_06",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Generally well behaved, usually does what adults request",SDQ_07,SDQ,"SDQ,SDQ_07",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Many worries or often seems worried,SDQ_08,SDQ,"SDQ,SDQ_08",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Helpful if someone is hurt, upset or feeling ill",SDQ_09,SDQ,"SDQ,SDQ_09",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Constantly fidgeting or squirming,SDQ_10,SDQ,"SDQ,SDQ_10",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Has at least one good friend,SDQ_11,SDQ,"SDQ,SDQ_11",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Often fights with other children or bullies them (for 11-17 year olds: Often fights with other youth or bullies them),SDQ_12,SDQ,"SDQ,SDQ_12",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Often unhappy, depressed or tearful",SDQ_13,SDQ,"SDQ,SDQ_13",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Generally liked by other children (for 11-17 year olds: Generally liked by other youth),SDQ_14,SDQ,"SDQ,SDQ_14",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Easily distracted, concentration wanders",SDQ_15,SDQ,"SDQ,SDQ_15",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Nervous in new situations, easily loses confidence",SDQ_16,SDQ,"SDQ,SDQ_16",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Kind to younger children,SDQ_17,SDQ,"SDQ,SDQ_17",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Often lies or cheats,SDQ_18,SDQ,"SDQ,SDQ_18",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Picked on or bullied by other children (for 11-17 year olds: Picked on or bullied by other youth),SDQ_19,SDQ,"SDQ,SDQ_19",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Often offers to help others (parents, teachers, children)",SDQ_20,SDQ,"SDQ,SDQ_20",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Thinks things out before acting,SDQ_21,SDQ,"SDQ,SDQ_21",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Steals from home, school or elsewhere",SDQ_22,SDQ,"SDQ,SDQ_22",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
Gets along better with adults than other children (for 11-17 year olds: Gets along better with adults than with other youth),SDQ_23,SDQ,"SDQ,SDQ_23",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
"Many fears, easily scared",SDQ_24,SDQ,"SDQ,SDQ_24",Parent Measures,Demographic_Questionnaire_Measures,Strengths and Difficulties Questionnaire (with impact supplement)
